Ptr.pUmem_Sta_ProgPos[9]  Ptr.pUmem_Sta_ProgPos[10]  Ptr.pUmem_Sta_Velocity[11]
-27014.00000000000000000 38578.00000000000000000 80.00000000000000000
-26945.00000000000000000 38480.00000000000000000 80.00000000000000000
-26945.00000000000000000 38480.00000000000000000 80.00000000000000000
-26870.00000000000000000 38373.00000000000000000 80.00000000000000000
-26801.00000000000000000 38275.00000000000000000 80.00000000000000000
-26727.00000000000000000 38169.00000000000000000 80.00000000000000000
-26652.00000000000000000 38062.00000000000000000 80.00000000000000000
-26652.00000000000000000 38062.00000000000000000 80.00000000000000000
-26583.00000000000000000 37964.00000000000000000 80.00000000000000000
-26509.00000000000000000 37857.00000000000000000 80.00000000000000000
-26440.00000000000000000 37759.00000000000000000 80.00000000000000000
-26365.00000000000000000 37653.00000000000000000 80.00000000000000000
-26365.00000000000000000 37653.00000000000000000 80.00000000000000000
-26291.00000000000000000 37546.00000000000000000 80.00000000000000000
-26222.00000000000000000 37448.00000000000000000 80.00000000000000000
-26147.00000000000000000 37341.00000000000000000 -27.00000000000000000
-26079.00000000000000000 37243.00000000000000000 -27.00000000000000000
-26079.00000000000000000 37243.00000000000000000 -27.00000000000000000
-26004.00000000000000000 37136.00000000000000000 -27.00000000000000000
-25935.00000000000000000 37038.00000000000000000 -27.00000000000000000
-25861.00000000000000000 36932.00000000000000000 -27.00000000000000000
-25792.00000000000000000 36825.00000000000000000 -27.00000000000000000
-25792.00000000000000000 36825.00000000000000000 -27.00000000000000000
-25717.00000000000000000 36727.00000000000000000 -27.00000000000000000
-25643.00000000000000000 36620.00000000000000000 -27.00000000000000000
-25574.00000000000000000 36522.00000000000000000 -27.00000000000000000
-25499.00000000000000000 36416.00000000000000000 -27.00000000000000000
-25499.00000000000000000 36416.00000000000000000 -27.00000000000000000
-25425.00000000000000000 36309.00000000000000000 -27.00000000000000000
-25356.00000000000000000 36211.00000000000000000 -27.00000000000000000
-25281.00000000000000000 36104.00000000000000000 -27.00000000000000000
-25213.00000000000000000 36006.00000000000000000 -40.00000000000000000
-25213.00000000000000000 36006.00000000000000000 -40.00000000000000000
-25138.00000000000000000 35900.00000000000000000 -40.00000000000000000
-25069.00000000000000000 35801.00000000000000000 -40.00000000000000000
-24995.00000000000000000 35695.00000000000000000 -40.00000000000000000
-24995.00000000000000000 35695.00000000000000000 -40.00000000000000000
-24926.00000000000000000 35596.00000000000000000 -40.00000000000000000
-24851.00000000000000000 35490.00000000000000000 -40.00000000000000000
-24777.00000000000000000 35384.00000000000000000 -40.00000000000000000
-24708.00000000000000000 35285.00000000000000000 -40.00000000000000000
-24708.00000000000000000 35285.00000000000000000 -40.00000000000000000
-24633.00000000000000000 35179.00000000000000000 -40.00000000000000000
-24564.00000000000000000 35080.00000000000000000 -40.00000000000000000
-24490.00000000000000000 34974.00000000000000000 -40.00000000000000000
-24415.00000000000000000 34867.00000000000000000 -40.00000000000000000
-24415.00000000000000000 34867.00000000000000000 -40.00000000000000000
-24346.00000000000000000 34769.00000000000000000 -40.00000000000000000
-24272.00000000000000000 34663.00000000000000000 27.00000000000000000
-24203.00000000000000000 34564.00000000000000000 27.00000000000000000
-24129.00000000000000000 34458.00000000000000000 27.00000000000000000
-24129.00000000000000000 34458.00000000000000000 27.00000000000000000
-24060.00000000000000000 34360.00000000000000000 27.00000000000000000
-23985.00000000000000000 34253.00000000000000000 27.00000000000000000
-23911.00000000000000000 34147.00000000000000000 27.00000000000000000
-23842.00000000000000000 34048.00000000000000000 27.00000000000000000
-23842.00000000000000000 34048.00000000000000000 27.00000000000000000
-23767.00000000000000000 33942.00000000000000000 27.00000000000000000
-23698.00000000000000000 33844.00000000000000000 27.00000000000000000
-23624.00000000000000000 33737.00000000000000000 27.00000000000000000
-23555.00000000000000000 33639.00000000000000000 27.00000000000000000
-23555.00000000000000000 33639.00000000000000000 27.00000000000000000
-23480.00000000000000000 33532.00000000000000000 27.00000000000000000
-23406.00000000000000000 33426.00000000000000000 27.00000000000000000
-23337.00000000000000000 33327.00000000000000000 -13.00000000000000000
-23262.00000000000000000 33221.00000000000000000 -13.00000000000000000
-23262.00000000000000000 33221.00000000000000000 -13.00000000000000000
-23194.00000000000000000 33123.00000000000000000 -13.00000000000000000
-23119.00000000000000000 33016.00000000000000000 -13.00000000000000000
-23050.00000000000000000 32918.00000000000000000 -13.00000000000000000
-22976.00000000000000000 32811.00000000000000000 -13.00000000000000000
-22976.00000000000000000 32811.00000000000000000 -13.00000000000000000
-22907.00000000000000000 32713.00000000000000000 -13.00000000000000000
-22832.00000000000000000 32607.00000000000000000 -13.00000000000000000
-22758.00000000000000000 32500.00000000000000000 -13.00000000000000000
-22689.00000000000000000 32402.00000000000000000 -13.00000000000000000
-22689.00000000000000000 32402.00000000000000000 -13.00000000000000000
-22614.00000000000000000 32295.00000000000000000 -13.00000000000000000
-22545.00000000000000000 32197.00000000000000000 -13.00000000000000000
-22471.00000000000000000 32091.00000000000000000 -13.00000000000000000
-22402.00000000000000000 31992.00000000000000000 0.00000000000000000
-22402.00000000000000000 31992.00000000000000000 0.00000000000000000
-22328.00000000000000000 31886.00000000000000000 0.00000000000000000
-22259.00000000000000000 31787.00000000000000000 0.00000000000000000
-22184.00000000000000000 31681.00000000000000000 0.00000000000000000
-22184.00000000000000000 31681.00000000000000000 0.00000000000000000
-22115.00000000000000000 31583.00000000000000000 0.00000000000000000
-22041.00000000000000000 31476.00000000000000000 0.00000000000000000
-21972.00000000000000000 31378.00000000000000000 0.00000000000000000
-21897.00000000000000000 31271.00000000000000000 0.00000000000000000
-21897.00000000000000000 31271.00000000000000000 0.00000000000000000
-21823.00000000000000000 31165.00000000000000000 0.00000000000000000
-21754.00000000000000000 31067.00000000000000000 0.00000000000000000
-21679.00000000000000000 30960.00000000000000000 0.00000000000000000
-21605.00000000000000000 30854.00000000000000000 0.00000000000000000
-21605.00000000000000000 30854.00000000000000000 0.00000000000000000
-21536.00000000000000000 30755.00000000000000000 0.00000000000000000
-21461.00000000000000000 30649.00000000000000000 13.00000000000000000
-21393.00000000000000000 30551.00000000000000000 13.00000000000000000
-21318.00000000000000000 30444.00000000000000000 13.00000000000000000
-21318.00000000000000000 30444.00000000000000000 13.00000000000000000
-21243.00000000000000000 30338.00000000000000000 13.00000000000000000
-21175.00000000000000000 30239.00000000000000000 13.00000000000000000
-21100.00000000000000000 30133.00000000000000000 13.00000000000000000
-21031.00000000000000000 30035.00000000000000000 13.00000000000000000
-21031.00000000000000000 30035.00000000000000000 13.00000000000000000
-20957.00000000000000000 29928.00000000000000000 13.00000000000000000
-20888.00000000000000000 29830.00000000000000000 13.00000000000000000
-20813.00000000000000000 29723.00000000000000000 13.00000000000000000
-20739.00000000000000000 29617.00000000000000000 13.00000000000000000
-20739.00000000000000000 29617.00000000000000000 13.00000000000000000
-20670.00000000000000000 29518.00000000000000000 13.00000000000000000
-20595.00000000000000000 29412.00000000000000000 13.00000000000000000
-20527.00000000000000000 29314.00000000000000000 13.00000000000000000
-20452.00000000000000000 29207.00000000000000000 13.00000000000000000
-20452.00000000000000000 29207.00000000000000000 13.00000000000000000
-20377.00000000000000000 29101.00000000000000000 13.00000000000000000
-20309.00000000000000000 29002.00000000000000000 13.00000000000000000
-20234.00000000000000000 28896.00000000000000000 13.00000000000000000
-20165.00000000000000000 28798.00000000000000000 13.00000000000000000
-20165.00000000000000000 28798.00000000000000000 13.00000000000000000
-20091.00000000000000000 28691.00000000000000000 13.00000000000000000
-20022.00000000000000000 28593.00000000000000000 13.00000000000000000
-19947.00000000000000000 28486.00000000000000000 13.00000000000000000
-19947.00000000000000000 28486.00000000000000000 13.00000000000000000
-19873.00000000000000000 28380.00000000000000000 13.00000000000000000
